net,length_um
chacha_unit.nonce\[39\],385.08µm
_03134_,384.72µm
_03033_,384.14µm
net1252,384.08µm
_07111_,383.9µm
net541,383.78µm
chacha_unit.U_QR_COL_3.in_d\[28\],383.665µm
net1359,383.44µm
_05248_,383.36µm
_11273_,383.32µm
net162,382.7µm
_12326_,382.5µm
net1059,382.29µm
net1739,381.38µm
_04067_,381.27µm
_13248_,381.23µm
clknet_5_6__leaf_clk,381.01µm
net749,380.54µm
_05098_,380.32µm
chacha_unit.U_QR_COL_1.in_b\[30\],380.305µm
_05647_,379.46µm
_06941_,379.4µm
_11280_,379.39µm
chacha_unit.U_QR_COL_1.in_b\[16\],379.08µm
_06295_,378.89µm
net306,378.44µm
net639,378.18µm
chacha_unit.U_QR_COL_1.in_b\[31\],378.02µm
net426,377.67µm
net273,377.56µm
_07086_,377.34µm
net863,377.07µm
chacha_unit.U_QR_COL_3.in_d\[26\],376.48µm
net1733,376.16µm
chacha_unit.U_QR_COL_1.in_a\[6\],375.72µm
_12797_,375.17µm
_05050_,374.81µm
net316,374.78µm
chacha_unit.U_QR_COL_1.in_a\[5\],374.74µm
_02986_,374.22µm
_06394_,373.86µm
_03475_,373.85µm
chacha_unit.U_QR_COL_3.in_a\[29\],373.73µm
_05269_,373.54µm
net351,373.5µm
chacha_unit.key\[23\],373.43µm
